,0,1
65, pollute ,"0.029**
(0.028)"
66, huanbao ,"0.008**
(0.011)"
67, _cons ,"-0.118
(0.173)"
68,-------------+----------------------------------------------------------------, 
69, /cut_1_1 ,"-0.557
(0.567)"
70, /cut_1_2 ,"-0.041
(0.567)"
71, /cut_1_3 ,"0.347
(0.567)"
72, /cut_1_4 ,"0.6
(0.568)"
73, /cut_1_5 ,"0.872
(0.569)"
74, /cut_1_6 ,"1.228
(0.57)"
75, /cut_1_7 ,"1.482
(0.573)"
76, /cut_1_8 ,"1.716
(0.576)"
77, /cut_1_9 ,"2.146
(0.593)"
78, /lnsig_2 ,"-0.933**
(0.012)"
79,/atanhrho_12 ,"0.114*
(0.058)"
80, ,"Coef.
Std."
81,-------------+----------------------------------------------------------------, 
82,env_gr |, 
83, work ,"0.411
(0.106)"
84, age ,"-0.001***
(0.002)"
85, xingbie ,"-0.133**
(0.04)"
86, Education ,"0.087**
(0.024)"
87, zhengzhi ,"0.201*
(0.08)"
88, shejiao ,"0.025***
(0.009)"
89, hulianwang ,"0.014**
(0.019)"
90, jieceng ,"-0.031**
(0.036)"
91, zongjiao ,"0.167*
(0.053)"
92, health ,"0.005**
(0.017)"
93, xuanju ,"0.052**
(0.036)"
94, jingji ,"0.042**
(0.029)"
95, juzhu ,"-0.231*
(0.094)"
96, fsize ,"0.031**
(0.011)"
97, F_zhiye ,"0.126*
(0.084)"
98, P_zhengzhi ,"-0.114*
(0.062)"
99, P_Education ,"0.038**
(0.024)"
100, pollute ,"0.267*
(0.072)"
101, huanbao ,"0.025**
(0.027)"
102,-------------+----------------------------------------------------------------, 
103,work |, 
104, z ,"0.843**
(0.035)"
105, age ,"-0.008***
(0.001)"
106, xingbie ,"0.19**
(0.014)"
107, Education ,"0.075***
(0.008)"
108, zhengzhi ,"0.156**
(0.03)"
109, shejiao ,"0.004***
(0.004)"
110, hulianwang ,"0.01***
(0.007)"
111, jieceng ,"0.03**
(0.014)"
112, zongjiao ,"0.052**
(0.02)"
113, health ,"0.014***
(0.006)"
114, xuanju ,"-0.067**
(0.013)"
115, jingji ,"0.032**
(0.011)"
116, juzhu ,"0.02**
(0.036)"
117, fsize ,"-0.003***
(0.004)"
118, F_zhiye ,"-0.021**
(0.032)"
119, P_zhengzhi ,"-0.009**
(0.024)"
120, P_Education ,"0.029***
(0.009)"
121, pollute ,"0.029**
(0.028)"
122, huanbao ,"0.008**
(0.011)"
123, _cons ,"-0.118
(0.173)"
124,-------------+----------------------------------------------------------------, 
125, /cut_1_1 ,"0.814
(0.448)"
126, /cut_1_2 ,"1.194
(0.448)"
127, /cut_1_3 ,"1.738
(0.448)"
128, /cut_1_4 ,"2.14
(0.448)"
129, /cut_1_5 ,"2.671
(0.449)"
130, /cut_1_6 ,"3.101
(0.449)"
131, /cut_1_7 ,"3.532
(0.45)"
132, /cut_1_8 ,"4.073
(0.451)"
133, /cut_1_9 ,"4.474
(0.453)"
134, /cut_1_10 ,"4.992
(0.464)"
135, /lnsig_2 ,"-0.933**
(0.012)"
136,/atanhrho_12 ,"-0.122**
(0.046)"
137, env_gr ,"Coef.
Std."
138,-------------+----------------------------------------------------------------, 
139, work ,"0.144**
(0.039)"
140, age ,"-0.003***
(0.002)"
141, xingbie ,"-0.084**
(0.036)"
142, Education ,"0.112**
(0.022)"
143, zhengzhi ,"0.241*
(0.078)"
144, shejiao ,"0.024***
(0.009)"
145, hulianwang ,"0.02**
(0.019)"
146, jieceng ,"-0.025**
(0.036)"
147, zongjiao ,"0.187*
(0.052)"
148, health ,"0.011**
(0.016)"
149, xuanju ,"0.03**
(0.035)"
150, jingji ,"0.05**
(0.029)"
151, juzhu ,"-0.262*
(0.093)"
152, fsize ,"0.031**
(0.011)"
153, F_zhiye ,"0.122*
(0.084)"
154, P_zhengzhi ,"-0.111*
(0.062)"
155, P_Education ,"0.048**
(0.023)"
156, pollute ,"0.285*
(0.072)"
157, huanbao ,"0.031**
(0.027)"
158,-------------+----------------------------------------------------------------, 
159, /cut1 ,"0.795
(0.448)"
160, /cut2 ,"1.178
(0.448)"
161, /cut3 ,"1.725
(0.448)"
162, /cut4 ,"2.13
(0.448)"
163, /cut5 ,"2.664
(0.449)"
164, /cut6 ,"3.097
(0.449)"
165, /cut7 ,"3.531
(0.45)"
166, /cut8 ,"4.077
(0.451)"
167, /cut9 ,"4.483
(0.453)"
168, /cut10 ,"5.005
(0.464)"
169,---------------------------------------------------------------------------, 
170, env_sh ,"Coef.
Std."
171,-------------+----------------------------------------------------------------, 
172, work ,"-0.049**
(0.049)"
173, age ,"-0.005***
(0.002)"
174, xingbie ,"0.173**
(0.046)"
175, Education ,"0.155**
(0.027)"
176, zhengzhi ,"0.386*
(0.089)"
177, shejiao ,"0.018**
(0.012)"
178, hulianwang ,"0.0**
(0.023)"
179, jieceng ,"0.085**
(0.046)"
180, zongjiao ,"0.177*
(0.065)"
181, health ,"0.027**
(0.021)"
182, xuanju ,"0.141**
(0.045)"
183, jingji ,"-0.047**
(0.036)"
184, juzhu ,"-0.544
(0.102)"
185, fsize ,"0.023**
(0.014)"
186, F_zhiye ,"0.033*
(0.099)"
187, P_zhengzhi ,"0.171*
(0.073)"
188, P_Education ,"0.062**
(0.028)"
189, pollute ,"-0.14*
(0.092)"
190, huanbao ,"-0.207**
(0.037)"
191,-------------+----------------------------------------------------------------, 
192, /cut1 ,"-0.561
(0.568)"
193, /cut2 ,"-0.041
(0.568)"
194, /cut3 ,"0.349
(0.568)"
195, /cut4 ,"0.603
(0.569)"
196, /cut5 ,"0.877
(0.57)"
197, /cut6 ,"1.234
(0.572)"
198, /cut7 ,"1.489
(0.574)"
199, /cut8 ,"1.723
(0.577)"
200, /cut9 ,"2.154
(0.594)"
201,生命周期=1, 
202, ,Robust
203, env_geren ,"Coef.
Std."
204,-------------+----------------------------------------------------------------, 
205, work ,"0.197
(0.103)"
206, age ,"-0.001***
(0.002)"
207, xingbie ,"-0.09**
(0.043)"
208, Education ,"0.09**
(0.025)"
209, zhengzhi ,"0.176*
(0.097)"
210, shejiao ,"0.018**
(0.011)"
211, hulianwang ,"0.009**
(0.019)"
212, jieceng ,"0.029**
(0.042)"
213, zongjiao ,"0.137*
(0.06)"
214, health ,"-0.003**
(0.018)"
215, xuanju ,"0.123**
(0.04)"
216, jingji ,"0.024**
(0.034)"
217, juzhu ,"-0.189*
(0.095)"
218, fsize ,"0.014**
(0.012)"
219, F_zhiye ,"-0.037*
(0.081)"
220, P_zhengzhi ,"-0.01*
(0.064)"
221, P_Education ,"0.041**
(0.025)"
222, pollute ,"-0.026*
(0.076)"
223, huanbao ,"0.054**
(0.029)"
224, _cons ,"-0.231
(0.467)"
225,------------------------------------------------------------------------------, 
226,生命周期=2, 
227, env_geren ,"Coef.
Std."
228,-------------+----------------------------------------------------------------, 
229, work ,"0.242
(0.105)"
230, age ,"-0.0***
(0.002)"
231, xingbie ,"-0.066**
(0.039)"
232, Education ,"0.055**
(0.024)"
233, zhengzhi ,"0.25*
(0.085)"
234, shejiao ,"0.018***
(0.009)"
235, hulianwang ,"0.022**
(0.021)"
236, jieceng ,"-0.055**
(0.036)"
237, zongjiao ,"0.06**
(0.048)"
238, health ,"0.006**
(0.016)"
239, xuanju ,"0.003**
(0.035)"
240, jingji ,"0.016**
(0.029)"
241, juzhu ,"-0.137
(0.128)"
242, fsize ,"0.018***
(0.01)"
243, F_zhiye ,"0.215*
(0.097)"
244, P_zhengzhi ,"-0.153*
(0.065)"
245, P_Education ,"0.034**
(0.025)"
246, pollute ,"0.28*
(0.073)"
247, huanbao ,"0.004**
(0.027)"
248, _cons ,"-1.889
(0.464)"
249,生命周期=3, 
250, ,Robust
251, env_geren ,"Coef.
Std."
252,-------------+----------------------------------------------------------------, 
253, work ,"0.56
(0.281)"
254, age ,"-0.0***
(0.004)"
255, xingbie ,"-0.067*
(0.075)"
256, Education ,"0.057*
(0.052)"
257, zhengzhi ,"-0.111
(0.141)"
258, shejiao ,"0.019**
(0.016)"
259, hulianwang ,"0.104*
(0.071)"
260, jieceng ,"0.015*
(0.065)"
261, zongjiao ,"0.102*
(0.083)"
262, health ,"0.011**
(0.029)"
263, xuanju ,"-0.048*
(0.065)"
264, jingji ,"0.034**
(0.047)"
265, juzhu ,"-0.311
(0.169)"
266, fsize ,"0.035**
(0.027)"
267, F_zhiye ,"0.154
(0.179)"
268, P_zhengzhi ,"-0.129
(0.15)"
269, P_Education ,"0.001*
(0.053)"
270, pollute ,"0.372
(0.127)"
271, huanbao ,"-0.039**
(0.042)"
272, _cons ,"-2.581
(0.827)"
273,生命周期=1, 
274, ,Robust
275, env_shehui ,"Coef.
Std."
276,-------------+----------------------------------------------------------------, 
277, work ,"-0.278
(0.148)"
278, age ,"0.001***
(0.004)"
279, xingbie ,"0.142*
(0.068)"
280, Education ,"0.154**
(0.04)"
281, zhengzhi ,"0.854
(0.25)"
282, shejiao ,"0.024**
(0.014)"
283, hulianwang ,"0.052**
(0.031)"
284, jieceng ,"0.159*
(0.067)"
285, zongjiao ,"0.181
(0.101)"
286, health ,"0.003**
(0.026)"
287, xuanju ,"0.032*
(0.061)"
288, jingji ,"-0.1*
(0.052)"
289, juzhu ,"-0.599
(0.177)"
290, fsize ,"-0.001**
(0.02)"
291, F_zhiye ,"-0.137
(0.132)"
292, P_zhengzhi ,"0.042
(0.101)"
293, P_Education ,"0.09**
(0.041)"
294, pollute ,"-0.111
(0.103)"
295, huanbao ,"-0.079**
(0.041)"
296, _cons ,"0.833
(0.684)"
297,生命周期=2, 
298, ,Robust
299, env_shehui ,"Coef.
Std."
300,-------------+----------------------------------------------------------------, 
301, work ,"-0.316
(0.134)"
302, age ,"-0.004***
(0.003)"
303, xingbie ,"0.153*
(0.055)"
304, Education ,"0.088**
(0.031)"
305, zhengzhi ,"0.475
(0.149)"
306, shejiao ,"0.006**
(0.012)"
307, hulianwang ,"0.049**
(0.033)"
308, jieceng ,"0.051*
(0.051)"
309, zongjiao ,"0.184*
(0.087)"
310, health ,"0.038**
(0.022)"
311, xuanju ,"0.047**
(0.046)"
312, jingji ,"0.0**
(0.045)"
313, juzhu ,"-0.333
(0.157)"
314, fsize ,"0.001**
(0.013)"
315, F_zhiye ,"0.097
(0.146)"
316, P_zhengzhi ,"0.12
(0.102)"
317, P_Education ,"0.073**
(0.037)"
318, pollute ,"0.205
(0.104)"
319, huanbao ,"-0.077**
(0.034)"
320, _cons ,"-1.131
(0.695)"
321,生命周期=3, 
322, env_shehui ,"Coef.
Std."
323,-------------+----------------------------------------------------------------, 
324, work ,"-0.402
(0.272)"
325, age ,"-0.011***
(0.007)"
326, xingbie ,"0.22*
(0.082)"
327, Education ,"0.101*
(0.068)"
328, zhengzhi ,"0.047
(0.143)"
329, shejiao ,"0.011**
(0.013)"
330, hulianwang ,"-0.061*
(0.06)"
331, jieceng ,"0.099*
(0.061)"
332, zongjiao ,"0.133
(0.113)"
333, health ,"0.04**
(0.028)"
334, xuanju ,"-0.094*
(0.077)"
335, jingji ,"-0.044*
(0.056)"
336, juzhu ,"-0.442
(0.28)"
337, fsize ,"-0.025**
(0.023)"
338, F_zhiye ,"0.021
(0.232)"
339, P_zhengzhi ,"0.224
(0.155)"
340, P_Education ,"0.062*
(0.088)"
341, pollute ,"-0.059
(0.107)"
342, huanbao ,"-0.099**
(0.032)"
343, _cons ,"1.245
(1.035)"
